"p_id","p_url","p_name","p_status","p_brand","p_system","p_addtime","jd_price","p_weight","p_network","p_color","p_CPU","p_screenSize","p_place","p_special","p_tags","p_comment"
1044962348,"http://item.jd.com/1044962348.html","中维恒泰 HT-586 CDMA/GSM...","1","","其它","2013-10-31 11:26:41",288,122,"双模（电信＋移动/联通2G）","白色","","3.0英寸及以下","","老人手机","支持国产机(7)
待机时间长(6)
性价比高(6)
铃声大(6)
通话质量好(6)
字体大(6)
信号稳定(4)
电池耐用(4)
屏幕大(4)
外观漂亮(3)","全部评价(76)
好评(71)
中评(4)
差评(1)
有晒单(2)"
1015367808,"http://item.jd.com/1015367808.html","乐目LM128 三防手机 GSM双卡双待...","1","","其它","2013-09-27 19:02:30",380,399,"移动2G/联通2G（GSM）","黑色","","3.0英寸及以下","中国大陆","防水","待机时间长(31)
电池耐用(20)
外观漂亮(20)
性价比高(19)
支持国产机(16)
铃声大(15)
信号稳定(13)
通话质量好(12)
字体大(8)
音质好(7)","全部评价(1168)
好评(1007)
中评(112)
差评(49)
有晒单(33)"
1013683357,"http://item.jd.com/1013683357.html","新中桥 CB-U303 GSM 双卡双待...","1","","其它","2013-10-10 10:15:31",118,230,"移动2G/联通2G（GSM）","红色","","3.0英寸及以下","中国大陆","老人手机","铃声大(32)
支持国产机(27)
外观漂亮(26)
性价比高(20)
字体大(16)
信号稳定(15)
音质好(13)
比较一般(13)
通话质量好(12)
电池耐用(12)","全部评价(4734)
好评(4178)
中评(382)
差评(174)
有晒单(151)"
1018440,"http://item.jd.com/1018440.html","酷比MAX X7T","1","酷比（koobee）","Android","2013-12-04 09:23:36",1199,360,"移动2G/联通2G（GSM）,移动3G（TD-SCDMA）","白色","","5.5-5.0英寸","中国大陆","拍照神器","性价比高(12)
屏幕大(7)
支持国产机(7)
反应快(7)
系统流畅(5)
功能齐全(5)
外观漂亮(4)
分辨率高(4)
照相不错(4)
音质好(3)","全部评价(32)
好评(27)
中评(3)
差评(2)
有晒单(2)"
1059317,"http://item.jd.com/1059317.html","信得乐N81-F2","1","信得乐（Simtelep）","其它","2014-01-27 13:44:31",99,270,"移动2G/联通2G（GSM）","黑色","","3.0英寸及以下","中国大陆","老人手机","性价比高(8)
字体大(6)
支持国产机(6)
铃声大(6)
比较一般(4)
功能齐全(3)
通话质量好(3)
音质好(3)
待机时间长(3)
系统流畅(2)","全部评价(33)
好评(31)
中评(1)
差评(1)
有晒单(1)"
803298,"http://item.jd.com/803298.html","金立GN777","1","金立（Gionee）","Android","2014-01-17 14:46:38",999,520,"联通3G（WCDMA）,双卡,移动2G/联通2G（GSM）","金色","单核1GHz及以上CPU","3.1-3.5英寸","中国大陆","翻盖","外观漂亮(6)
支持国产机(5)
功能齐全(5)
性价比高(5)
电池耐用(5)
屏幕大(5)
通话质量好(4)
音质好(4)
照相不错(3)
待机时间长(3)","全部评价(60)
好评(57)
中评(2)
差评(1)
有晒单(1)"
1079507378,"http://item.jd.com/1079507378.html","金圣达 E4000×2 GSM 三防老人...","1","","其它","2014-02-13 17:15:01",382,450,"移动2G/联通2G（GSM）","绿色","","3.0英寸及以下","","老人手机","电池耐用(1)","全部评价(11)
好评(11)
中评(0)
差评(0)
有晒单(2)"
1076010425,"http://item.jd.com/1076010425.html","英特奇 H20000 移动GSM 老人手...","1","","其它","2014-03-05 11:05:21",77,200,"双卡","白色","","3.0英寸及以下","","老人手机","支持国产机(8)
比较一般(4)
外观漂亮(4)
字体大(4)
通话质量好(4)
铃声大(4)
后盖很漂亮(3)
性价比高(3)
音质好(2)
功能齐全(2)","全部评价(3203)
好评(2936)
中评(199)
差评(68)
有晒单(86)"
1016631479,"http://item.jd.com/1016631479.html","金圣达 A18-G GSM 学生手机 双...","1","","Android","2013-11-28 12:08:31",299,440,"移动2G/联通2G（GSM）","黑色","","4.0-3.1英寸","中国大陆","","外观漂亮(9)
比较一般(8)
性价比高(7)
支持国产机(7)
电池耐用(4)
系统流畅(4)
音质好(4)
软件也不错(3)
功能齐全(3)
后盖很漂亮(3)","全部评价(243)
好评(184)
中评(31)
差评(28)
有晒单(10)"
1025414440,"http://item.jd.com/1025414440.html","中诺(CHINO-E) T2000（黑色...","1","","其它","2013-12-03 12:08:40",179,132,"移动2G/联通2G（GSM）","黑色","","3.0英寸及以下","中国大陆","老人手机","铃声大(20)
性价比高(16)
字体大(16)
支持国产机(12)
待机时间长(11)
电池耐用(9)
信号稳定(8)
音质好(7)
功能齐全(6)
通话质量好(5)","全部评价(62)
好评(57)
中评(3)
差评(2)
有晒单(3)"
1042997435,"http://item.jd.com/1042997435.html","波导 V9 移动/联通（GSM）老人手机...","1","","其它","2013-12-03 15:24:39",278,139,"移动2G/联通2G（GSM）","金色","","3.0英寸及以下","中国大陆","老人手机","字体大(128)
铃声大(118)
支持国产机(95)
外观漂亮(90)
屏幕大(86)
性价比高(78)
电池耐用(52)
待机时间长(49)
通话质量好(45)
功能齐全(45)","全部评价(1007)
好评(913)
中评(67)
差评(27)
有晒单(31)"
1033349197,"http://item.jd.com/1033349197.html","宸通 CT320 GSM儿童手机 绿色","1","","其它","2013-11-06 15:09:22",128,95,"移动2G/联通2G（GSM）","粉色","","3.0英寸及以下","","儿童手机","外观漂亮(9)
性价比高(6)
后盖很漂亮(4)
支持国产机(4)
铃声大(3)
功能齐全(2)
通话质量好(2)
音质好(1)
比较一般(1)
待机时间长(1)","全部评价(211)
好评(191)
中评(14)
差评(6)
有晒单(5)"
1065301685,"http://item.jd.com/1065301685.html","职业者ZY016 CDMA电信老人手机 ...","1","","其它","",166,92,"电信2G（CDMA）","黑色","","3.0英寸及以下","","老人手机","外观漂亮(6)
支持国产机(6)
电池耐用(4)
待机时间长(4)
铃声大(4)
字体大(3)
音质好(3)
比较一般(2)
系统流畅(1)
通话质量好(1)","全部评价(93)
好评(87)
中评(4)
差评(2)
有晒单(5)"
1030709498,"http://item.jd.com/1030709498.html","西维 W702 3G手机 TD-SCDM...","1","","Android","2013-10-18 13:39:23",699,197,"移动3G（TD-SCDMA）","白色","","5.5-5.0英寸","中国大陆","","外观漂亮(25)
性价比高(20)
屏幕大(19)
支持国产机(17)
照相不错(16)
系统流畅(15)
后盖很漂亮(15)
分辨率高(14)
软件也不错(11)
反应快(11)","全部评价(129)
好评(121)
中评(4)
差评(4)
有晒单(45)"
